1 23 41 35 2 5 37 12 30 44 24 13 42 3 14 31 15 10 22 38 32 39 18 33 43 17 19 29 4 20 28 48 34 40 8 9 45 26 11 25 36 46 6 7 16 47 27 21
47 30 20 44 10 43 16 45 29 15 24 27 34 8 13 5 1 33 31 42 23 41 2 40 26 37 9 28 39 7 36 19 4 48 22 21 12 32 14 35 18 3 17 38 25 6 11 46
40 33 47 19 48 1 30 39 20 44 28 15 21 22 37 38 41 6 13 17 43 12 9 7 8 2 26 45 34 27 16 11 29 23 25 3 18 14 36 46 24 35 42 31 5 32 10 4
31 3 4 7 46 19 39 6 30 16 2 1 24 25 32 26 5 33 21 11 48 37 20 44 29 18 22 42 9 28 15 27 35 45 41 23 14 47 8 43 17 36 13 34 10 12 38 40
5 2 27 28 3 37 39 9 42 13 41 6 34 22 24 7 11 14 35 30 21 17 29 25 38 8 1 15 31 16 19 20 48 45 12 44 32 36 4 47 23 10 46 18 26 40 33 43
40 11 13 34 47 37 35 29 21 31 19 5 30 42 36 7 32 18 14 33 6 12 9 26 3 2 8 25 41 1 38 24 22 46 4 15 28 45 17 39 23 48 43 20 16 27 44 10
36 32 30 13 6 2 42 20 22 26 14 38 21 3 17 19 1 28 4 27 25 44 46 33 41 29 10 9 47 39 5 35 7 40 18 34 48 45 37 12 15 16 31 43 23 8 24 11
15 42 23 44 20 47 46 29 24 19 33 38 2 40 28 13 21 36 22 31 6 4 11 48 41 16 39 7 27 32 45 8 35 5 30 43 37 12 26 14 1 34 9 10 17 18 3 25
29 18 1 21 31 2 43 9 46 40 12 15 17 35 27 36 30 23 42 28 45 37 26 3 44 4 22 20 33 16 41 7 8 25 34 47 10 14 19 13 11 39 38 48 32 6 24 5
2 24 6 8 33 40 41 14 11 34 12 15 4 25 30 44 17 32 23 48 35 22 46 3 39 21 42 38 5 29 28 20 16 10 1 45 19 9 18 37 43 31 26 7 27 13 36 47
22 13 34 6 44 30 41 14 43 10 32 1 9 37 42 21 17 45 40 16 5 4 46 2 27 33 38 24 8 23 25 19 29 48 11 39 26 15 28 18 35 20 3 31 47 7 12 36
9 31 45 44 22 32 43 3 10 12 38 15 30 36 26 1 7 28 13 19 37 46 18 34 20 8 5 33 11 6 41 4 39 35 40 21 14 25 2 27 29 47 23 17 24 16 48 42
10 21 18 8 38 14 40 9 31 5 34 22 7 35 43 6 4 48 42 45 13 29 12 23 19 17 25 44 46 27 32 3 15 28 26 11 37 2 41 20 24 33 39 47 36 16 30 1
18 6 25 15 32 40 31 43 7 3 38 30 16 2 42 4 33 46 20 28 8 23 24 35 26 48 17 13 11 39 34 1 27 10 19 45 47 14 5 29 41 21 44 9 36 37 22 12
26 5 2 39 23 29 19 24 45 17 36 37 4 15 1 8 44 3 16 12 27 34 30 9 25 38 6 22 7 46 11 13 32 35 18 31 47 20 40 21 10 33 41 48 28 42 43 14
44 27 15 45 37 9 48 38 40 42 32 47 31 24 19 1 16 20 29 6 36 10 43 4 34 22 25 26 28 30 18 23 46 39 33 12 11 13 3 7 41 21 35 2 14 17 8 5
7 29 8 32 46 2 20 36 10 18 3 33 35 25 38 9 15 13 14 26 34 6 31 1 43 45 21 39 44 41 16 28 27 5 23 47 17 4 19 30 12 22 37 48 42 11 40 24
14 34 23 20 6 10 44 36 24 9 3 47 32 19 45 2 28 43 40 39 17 29 13 27 33 35 42 26 25 30 15 38 18 41 37 4 48 7 21 12 1 8 11 31 22 5 46 16
25 30 34 29 35 15 43 40 24 28 10 16 5 27 20 12 46 36 7 13 3 21 17 11 38 42 31 26 8 19 48 2 4 47 44 32 14 22 6 41 23 39 9 37 33 1 18 45
32 4 21 5 30 47 44 38 23 18 1 16 39 6 14 28 34 29 8 25 45 24 40 33 41 43 12 37 11 17 35 27 22 13 20 48 36 15 2 46 19 3 10 9 26 7 42 31
