26 29 27 30 25 28 21 7 8 24 41 42 40 9 44 1 31 47 16 4 45 46 36 15 43 3 14 34 22 10 23 37 32 19 13 12 11 5 35 17 20 2 39 38 18 33 6 48
26 30 27 29 25 28 12 11 23 38 10 22 39 37 24 34 44 1 48 46 43 33 7 47 32 45 16 4 40 6 19 9 14 17 42 18 3 8 21 20 35 13 5 41 2 36 15 31
26 27 30 29 28 25 19 9 40 12 20 21 42 41 4 47 11 31 45 46 43 2 36 17 16 22 44 5 24 33 13 14 35 38 10 48 6 18 3 15 34 39 1 8 23 7 37 32
29 26 30 27 28 25 38 37 10 12 22 11 39 19 47 3 48 43 13 20 34 18 31 44 46 7 17 1 33 8 2 40 24 15 21 16 5 4 32 23 45 35 6 14 42 36 9 41
27 26 29 30 28 25 12 19 39 11 10 22 37 38 47 3 44 48 43 13 46 24 34 18 45 6 31 17 1 7 32 5 23 4 2 36 35 41 14 21 9 8 33 15 40 16 20 42
26 29 30 27 28 25 7 42 9 21 39 20 8 19 47 31 43 34 38 22 10 35 48 2 4 3 33 13 23 40 41 1 17 14 16 24 11 32 18 5 36 44 15 37 45 12 46 6
30 29 26 27 25 28 10 24 40 12 22 37 23 11 45 32 41 44 46 1 48 16 43 7 34 38 4 5 17 33 13 31 18 14 6 47 36 21 2 15 3 8 35 19 42 20 9 39
30 26 27 29 28 25 7 20 9 37 39 23 38 8 48 43 1 21 4 44 34 10 41 5 14 32 2 35 13 19 46 11 40 12 22 47 36 31 42 3 16 45 6 18 33 17 15 24
30 29 27 26 28 25 19 12 38 41 10 22 11 45 3 48 13 40 31 20 47 43 17 44 46 16 2 21 32 4 34 18 14 35 9 37 5 15 7 39 6 42 23 1 36 24 8 33
29 26 30 27 25 28 12 24 11 23 38 41 10 22 45 34 37 1 48 46 44 5 43 8 47 17 13 19 35 2 14 39 18 36 31 7 3 6 21 20 9 42 33 4 16 40 32 15
29 30 26 27 28 25 24 7 10 41 38 22 23 45 1 34 31 42 12 9 43 5 46 44 35 47 19 6 20 14 13 48 18 36 11 3 16 2 32 15 40 4 37 8 17 21 39 33
26 30 29 27 28 25 19 40 7 42 22 10 41 31 3 44 45 46 8 24 47 11 43 16 14 4 34 21 36 38 6 18 20 17 32 23 1 33 13 2 35 12 48 15 37 39 9 5
30 29 27 26 25 28 24 12 41 21 11 38 10 34 4 1 42 45 20 47 7 31 2 46 17 35 3 48 39 36 43 15 32 5 44 37 19 13 14 33 22 8 6 40 9 18 23 16
29 30 27 26 28 25 38 24 22 7 23 41 9 8 1 45 31 48 16 34 46 44 5 14 43 4 32 40 10 15 35 20 2 13 21 12 37 36 18 39 17 47 6 3 11 42 19 33
27 29 26 30 28 25 7 22 10 19 41 42 40 44 3 6 47 11 45 46 8 43 48 31 21 4 34 16 14 32 18 12 13 24 5 36 15 37 9 20 17 1 39 38 2 35 23 33
30 29 26 27 28 25 12 22 24 39 37 9 23 38 1 44 10 48 46 43 7 34 47 45 40 32 15 16 4 33 6 11 14 17 36 41 35 18 3 31 13 2 19 42 21 20 5 8
27 30 29 26 25 28 24 11 39 22 37 23 8 38 34 44 1 12 48 43 46 33 5 16 45 40 18 14 47 13 31 4 10 6 20 2 17 19 42 41 7 15 32 9 35 3 36 21
27 26 30 29 25 28 40 12 42 24 41 22 10 23 11 45 1 46 44 16 3 37 7 20 47 32 15 14 36 18 48 43 17 8 35 5 6 31 4 13 21 34 38 9 33 19 39 2
26 30 27 29 28 25 9 12 37 24 22 23 39 38 1 48 8 44 34 46 43 5 45 16 15 40 33 47 19 13 42 41 36 18 11 3 14 20 31 35 32 21 4 6 17 2 7 10
30 27 26 29 25 28 24 12 9 41 42 21 40 1 4 44 47 16 31 7 46 45 2 36 15 35 37 13 38 23 6 33 48 34 8 14 39 43 22 18 10 5 3 32 17 19 20 11
