20
14 6 4 11 9 10 16 7 5 12 2 13 15 3 8 1
14 7 1 9 16 6 13 8 11 2 5 3 4 12 15 10
3 6 11 1 8 16 14 9 15 10 2 7 4 12 5 13
9 14 11 1 3 8 6 16 13 10 15 2 12 5 7 4
9 11 6 14 8 16 3 1 7 13 10 12 5 2 4 15
12 10 13 3 5 2 9 15 8 1 16 14 4 6 7 11
9 6 14 11 8 16 1 3 7 12 2 10 5 15 13 4
1 12 3 14 6 8 2 10 13 5 11 15 7 9 16 4
5 3 14 12 11 13 4 6 16 10 8 9 15 7 2 1
5 13 12 15 10 7 4 2 1 8 9 11 3 14 16 6
16 5 3 11 14 15 9 6 10 4 12 7 2 8 13 1
4 13 12 5 15 2 10 7 6 8 14 3 1 11 9 16
11 8 14 1 16 9 3 6 10 5 12 13 15 4 2 7
7 5 14 4 12 13 8 2 1 16 6 3 10 15 11 9
9 3 1 11 14 6 16 8 10 13 4 15 12 7 5 2
4 7 12 14 5 15 8 1 3 16 9 11 13 10 2 6
15 4 10 12 2 7 13 5 14 3 6 8 1 9 16 11
2 7 12 13 10 4 15 5 8 11 16 14 1 3 6 9
6 15 1 9 8 5 11 14 7 3 13 16 4 12 2 10
14 3 16 1 11 8 6 9 7 12 5 10 4 15 2 13
