1 16 9 7 15 10 11 3 5 2 8 14 6 12 13 4
5 15 13 7 3 11 6 2 10 12 8 9 4 1 14 16
5 15 13 7 3 11 6 2 10 12 8 9 4 1 14 16
13 4 6 12 10 3 1 8 2 14 11 15 7 5 9 16
13 4 6 12 10 3 1 8 2 14 11 15 7 5 9 16
14 7 5 16 15 1 13 6 8 10 4 9 11 2 12 3
14 7 5 16 15 1 13 6 8 10 4 9 11 2 12 3
2 10 8 1 16 12 5 14 13 3 15 11 9 7 6 4
2 10 8 1 16 12 5 14 13 3 15 11 9 7 6 4
4 10 12 2 7 13 9 8 3 1 14 5 6 11 15 16
4 10 12 2 7 13 9 8 3 1 14 5 6 11 15 16
8 14 16 1 11 6 15 7 2 12 9 3 4 5 10 13
8 14 16 1 11 6 15 7 2 12 9 3 4 5 10 13
4 12 14 6 8 10 2 13 15 1 7 9 3 5 11 16
4 12 14 6 8 10 2 13 15 1 7 9 3 5 11 16
16 10 8 2 12 9 11 15 7 3 5 14 1 4 13 6
16 10 8 2 12 9 11 15 7 3 5 14 1 4 13 6
2 16 9 15 6 11 1 14 5 10 13 8 3 12 4 7
2 16 9 15 6 11 1 14 5 10 13 8 3 12 4 7
12 1 14 16 5 11 6 7 10 2 4 15 8 13 9 3
