6 16 8 7 9 2 3 13 1 14 5 15 10 12 11 4
3 6 11 14 16 1 2 4 12 8 15 13 9 7 10 5
6 3 10 11 12 16 1 2 7 14 4 8 9 13 15 5
16 9 5 7 13 4 11 15 1 6 8 2 10 12 3 14
11 7 13 10 1 16 5 9 6 15 2 3 14 8 12 4
6 12 5 9 15 16 11 2 3 1 13 7 8 10 14 4
7 12 11 2 16 4 3 8 13 1 14 9 6 5 15 10
15 2 10 3 11 13 5 6 1 16 4 8 12 9 14 7
7 16 8 9 14 5 15 4 1 13 11 6 2 10 12 3
7 10 15 8 13 14 4 6 5 16 1 3 2 9 11 12
2 16 11 12 15 9 10 14 7 13 3 6 1 5 4 8
13 4 11 14 6 5 9 16 7 2 10 12 15 1 3 8
8 4 13 2 15 16 7 6 1 3 5 14 10 11 12 9
9 15 8 12 5 7 11 14 6 4 2 1 10 13 16 3
16 12 11 14 2 9 4 8 15 7 10 5 6 3 13 1
16 8 2 1 7 9 12 3 13 11 10 6 4 14 5 15
13 16 7 3 6 5 12 9 2 14 4 8 15 1 11 10
3 7 16 14 1 15 4 5 13 6 8 12 11 2 10 9
6 3 14 16 1 15 8 5 2 11 10 9 4 12 7 13
2 1 8 15 10 14 9 6 11 7 3 5 13 4 16 12
