20
11 6 16 3 8 14 9 1 10 2 4 7 12 15 5 13
13 3 8 6 11 7 16 2 4 1 12 5 10 14 15 9
13 3 8 6 11 7 16 2 4 1 12 5 10 14 15 9
2 7 5 4 15 13 12 10 14 9 16 3 11 1 8 6
2 7 5 4 15 13 12 10 14 9 16 3 11 1 8 6
8 6 16 14 9 11 3 1 10 7 2 15 4 5 13 12
8 6 16 14 9 11 3 1 10 7 2 15 4 5 13 12
4 13 12 7 5 2 10 15 11 3 1 6 16 14 9 8
4 13 12 7 5 2 10 15 11 3 1 6 16 14 9 8
11 9 2 16 8 6 3 12 14 15 10 7 4 5 1 13
11 9 2 16 8 6 3 12 14 15 10 7 4 5 1 13
4 6 15 9 8 14 11 10 5 13 2 12 3 7 1 16
4 6 15 9 8 14 11 10 5 13 2 12 3 7 1 16
8 2 15 10 13 4 14 9 1 3 5 11 7 16 6 12
8 2 15 10 13 4 14 9 1 3 5 11 7 16 6 12
9 6 3 14 8 1 11 16 10 5 7 15 13 12 2 4
9 6 3 14 8 1 11 16 10 5 7 15 13 12 2 4
13 12 2 5 10 4 7 15 6 8 9 3 11 1 14 16
13 12 2 5 10 4 7 15 6 8 9 3 11 1 14 16
4 11 5 13 2 15 1 9 12 7 14 8 3 10 16 6

